Goal Code,Goal Label,Goal Description ,Target Code,Target Description,Indicator Code,Indicator Reference,Indicator Description,Series Release,Tags,Series Code,Series Description,Geographic Area Code,Geographic Area Name,Geographic Area Level,Parent Geographic Area Code,Parent Geographic Area Name,Geographic Area Type,X,Y,ISO Code,Is UN Member,Has Country Proile,Unit Multiplier,Units Code,Units Desc,Time Series Id,Time Series Keys,Number of Years Available,Earliest Year Available,Latest Year Available,Available Years,Value 2000,Value 2001,Value 2002,Value 2003,Value 2004,Value 2005,Value 2006,Value 2007,Value 2008,Value 2009,Value 2010,Value 2011,Value 2012,Value 2013,Value 2014,Value 2015,Value 2016,Value 2017,Value 2018,Value 2019,Value 2020,Latest Value,Footnotes,Nature,ObjectId,x2,y2
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",14721.899,14989.179,9996.763,8273.798,8895.939,7786.15,7384.261,10138.719,9272.067,9229.338,9474.811,8127.742,7663.179,7340.715,7218.435,7190.673,6602.829,6742.651,6727.861,6690.218,6248.987,6248.987,,C: Country data,1,7350078.88068117,4006212.63896632
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",14721.899,14989.179,9996.763,8273.798,8895.939,7786.15,7384.261,10138.719,9272.067,9229.338,9474.811,8127.742,7663.179,7340.715,7218.435,7190.673,6602.829,6742.651,6727.861,6690.218,6248.987,6248.987,,C: Country data,2,7350078.88068117,4006212.63896632
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",248,Åland Islands,5,154,Northern Europe,Country,19.80945969,60.1544901,ALA,0,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C: Country data,3,2205178.96558068,8434214.01877879
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",8,Albania,5,39,Southern Europe,Country,20.06660928,41.13897007,ALB,1,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",216.865,243.105,342.946,331.895,336.204,410.321,457.541,502.93,497.301,525.571,498.582,460.615,429.466,346.753,349.428,358.644,381.71,420.117,466.535,518.899,536.958,536.958,,C: Country data,4,2233804.72699718,5032861.37750251
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",25.813,26.697,37.932,36.101,32.569,36.259,24.782,31.012,26.034,23.111,18.522,16.631,15.13,9.551,9.014,8.734,9.136,9.714,9.912,10.495,10.701,10.701,,C: Country data,5,298131.878010401,3269085.42780677
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",16,American Samoa,4,543,Oceania (exc. Australia and New Zealand),Country,-170.7187269,-14.30587306,ASM,0,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C: Country data,6,-19004321.7473839,-1609332.10636885
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",16,American Samoa,4,543,Oceania (exc. Australia and New Zealand),Country,-170.7187269,-14.30587306,ASM,0,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C: Country data,7,-19004321.7473839,-1609332.10636885
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",20,Andorra,5,39,Southern Europe,Country,1.576257417,42.54548611,AND,1,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",0,0,12.847,9.565,0,12.677,12.345,12.093,5.962,5.92,5.92,5.97,7.279,6.19,6.312,6.41,0,0,0,0,19.41,19.41,,C: Country data,8,175468.173019561,5243044.10736351
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",24,Angola,4,17,Middle Africa,Country,17.57817062,-12.33724746,AGO,1,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",2577.396,2702.148,2425.057,1786.202,1205.257,1098.308,1014.34,882.522,783.71,622.402,574.051,528.38,76.622,39.476,35.13,42.497,29.074,27.802,26.747,25.684,25.138,25.138,,C: Country data,9,1956793.00249568,-1384113.5910364
10,Goal 10,Reduce inequality within and among countries,10.7,"Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies",C100704,10.7.4,"Proportion of the population who are refugees, by country of origin",2021.Q2.G.03,"['migration policy', 'migration', 'refugees']",SM_POP_REFG_OR,"Number of refugees per 100,000 population, by country of origin (per 100,000 population)",660,Anguilla,4,29,Caribbean,Country,-63.05651612,18.21525315,AIA,0,1,,PER_100000_POP,"Per 100,000 population",SM_POP_REFG_OR,,21,2000,2020,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C: Country data,10,-7019419.26567625,2062758.99642159
